algorithm,size,seed,rule,lookahead,found,steps_taken,total_cost,total_runtime_ms,replans,updates,total_nodes_expanded,total_replan_time_ms,w,N,k,m,spike_cost
A*,40x40,9,Local Cost Spiking,0,1,78,268.0,14.588914811611176,8,7,7253,14.371341094374657,,10,5,5,50
wA*,40x40,9,Local Cost Spiking,0,1,76,265.0,12.01104186475277,8,7,5628,11.822376400232315,2.0,10,5,5,50
GBFS,40x40,9,Local Cost Spiking,0,1,74,780.0,0.4727467894554138,8,7,320,0.3927499055862427,,10,5,5,50
D*Lite,40x40,9,Local Cost Spiking,0,1,78,268.0,23.628083989024162,8,7,1545,22.93507754802704,,10,5,5,50
UCS,80x80,0,Local Cost Spiking,0,1,158,587.0,129.0221679955721,16,15,68891,127.57774442434311,,10,5,5,50
A*,80x80,0,Local Cost Spiking,0,1,160,603.0,123.96758422255516,16,15,58775,122.70796485245228,,10,5,5,50
wA*,80x80,0,Local Cost Spiking,0,1,160,607.0,106.75900056958199,16,15,48096,105.63157312572002,2.0,10,5,5,50
GBFS,80x80,0,Local Cost Spiking,0,1,154,1628.0,1.7987079918384552,16,15,1280,1.6178414225578308,,10,5,5,50
D*Lite,80x80,0,Local Cost Spiking,0,1,154,561.0,98.90483319759369,16,15,6294,96.99266776442528,,10,5,5,50
UCS,80x80,1,Local Cost Spiking,0,1,158,585.0,132.86204263567924,16,15,71579,131.396709010005,,10,5,5,50
A*,80x80,1,Local Cost Spiking,0,1,158,594.0,127.13266909122467,16,15,60403,125.82516856491566,,10,5,5,50
wA*,80x80,1,Local Cost Spiking,0,1,156,589.0,106.71916604042053,16,15,48031,105.5687852203846,2.0,10,5,5,50
GBFS,80x80,1,Local Cost Spiking,0,1,154,1385.0,1.7899572849273682,16,15,1280,1.6081631183624268,,10,5,5,50
D*Lite,80x80,1,Local Cost Spiking,0,1,156,593.0,101.19916498661041,16,15,6390,99.36775453388691,,10,5,5,50
UCS,80x80,2,Local Cost Spiking,0,1,158,575.0,131.73716515302658,16,15,70974,130.28988614678383,,10,5,5,50
A*,80x80,2,Local Cost Spiking,0,1,160,568.0,128.78349982202053,16,15,61285,127.47571058571339,,10,5,5,50
wA*,80x80,2,Local Cost Spiking,0,1,158,558.0,96.06845676898956,16,15,43003,95.00224515795708,2.0,10,5,5,50
