algorithm,size,seed,rule,lookahead,found,steps_taken,total_cost,total_runtime_ms,replans,updates,total_nodes_expanded,total_replan_time_ms,w,N,k,m,spike_cost
GBFS,40x40,3,Local Cost Spiking,0,1,74,692.0,0.5225855857133865,8,7,320,0.4295874387025833,,10,5,5,50
D*Lite,40x40,3,Local Cost Spiking,0,1,76,270.0,23.55579100549221,8,7,1527,22.81891740858555,,10,5,5,50
UCS,40x40,4,Local Cost Spiking,0,1,74,272.0,14.794625341892242,8,7,8281,14.547621831297874,,10,5,5,50
A*,40x40,4,Local Cost Spiking,0,1,74,280.0,15.449540689587593,8,7,7378,15.206996351480484,,10,5,5,50
wA*,40x40,4,Local Cost Spiking,0,1,74,284.0,14.670541509985924,8,7,6533,14.412416145205498,2.0,10,5,5,50
GBFS,40x40,4,Local Cost Spiking,0,1,74,669.0,0.5154162645339966,8,7,320,0.4282929003238678,,10,5,5,50
D*Lite,40x40,4,Local Cost Spiking,0,1,74,284.0,24.523332715034485,8,7,1514,23.609545081853867,,10,5,5,50
UCS,40x40,5,Local Cost Spiking,0,1,76,305.0,15.644708648324013,8,7,8231,15.352584421634674,,10,5,5,50
A*,40x40,5,Local Cost Spiking,0,1,84,350.0,16.137707978487015,9,8,7443,15.8125851303339,,10,5,5,50
wA*,40x40,5,Local Cost Spiking,0,1,76,311.0,14.718625694513321,8,7,6718,14.47758637368679,2.0,10,5,5,50
GBFS,40x40,5,Local Cost Spiking,0,1,74,691.0,0.5124583840370178,8,7,320,0.4181656986474991,,10,5,5,50
D*Lite,40x40,5,Local Cost Spiking,0,1,76,303.0,24.200040847063065,8,7,1584,23.324457928538322,,10,5,5,50
UCS,40x40,6,Local Cost Spiking,0,1,76,299.0,14.572834596037865,8,7,8469,14.325499534606934,,10,5,5,50
A*,40x40,6,Local Cost Spiking,0,1,80,307.0,13.823334127664566,8,7,6960,13.60366865992546,,10,5,5,50
wA*,40x40,6,Local Cost Spiking,0,1,74,274.0,13.341208919882774,8,7,6425,13.136250898241997,2.0,10,5,5,50
GBFS,40x40,6,Local Cost Spiking,0,1,74,820.0,0.4597902297973633,8,7,320,0.383252277970314,,10,5,5,50
D*Lite,40x40,6,Local Cost Spiking,0,1,74,294.0,44.23433169722557,8,7,1632,42.730627581477165,,10,5,5,50
UCS,40x40,7,Local Cost Spiking,0,1,74,291.0,14.979042112827301,8,7,8266,14.724917709827423,,10,5,5,50
A*,40x40,7,Local Cost Spiking,0,1,74,258.0,16.42412506043911,8,7,7562,16.147999092936516,,10,5,5,50
