algorithm,size,seed,rule,lookahead,found,steps_taken,total_cost,total_runtime_ms,replans,updates,total_nodes_expanded,total_replan_time_ms,w,N,k,m,spike_cost
UCS,40x40,5,Path Ahead Spiking,10,1,78,308.0,15.953334048390388,8,7,8566,15.710456296801567,,10,5,5,50
A*,40x40,5,Path Ahead Spiking,10,1,90,363.0,16.5219996124506,9,8,7716,16.28083549439907,,10,5,5,50
wA*,40x40,5,Path Ahead Spiking,10,1,90,358.0,13.585083186626434,9,8,6554,13.39271105825901,2.0,10,5,5,50
GBFS,40x40,5,Path Ahead Spiking,10,1,74,1991.0,0.4415009170770645,8,7,320,0.38662925362586975,,10,5,5,50
D*Lite,40x40,5,Path Ahead Spiking,10,1,74,436.0,42.823292315006256,8,7,2700,42.10195690393448,,10,5,5,50
UCS,40x40,6,Path Ahead Spiking,10,1,86,336.0,16.405625268816948,9,8,9334,16.17846079170704,,10,5,5,50
A*,40x40,6,Path Ahead Spiking,10,1,100,381.0,18.547706305980682,10,9,9277,18.306206911802292,,10,5,5,50
wA*,40x40,6,Path Ahead Spiking,10,1,80,360.0,12.83191703259945,8,7,6136,12.658461928367615,2.0,10,5,5,50
GBFS,40x40,6,Path Ahead Spiking,10,1,74,2070.0,0.4691667854785919,8,7,320,0.41412562131881714,,10,5,5,50
D*Lite,40x40,6,Path Ahead Spiking,10,1,80,416.0,34.5805399119854,8,7,2114,33.77237543463707,,10,5,5,50
UCS,40x40,7,Path Ahead Spiking,10,1,76,273.0,15.802918002009392,8,7,8483,15.548959374427795,,10,5,5,50
A*,40x40,7,Path Ahead Spiking,10,1,78,335.0,15.495041385293007,8,7,7260,15.267163515090942,,10,5,5,50
wA*,40x40,7,Path Ahead Spiking,10,1,80,316.0,19.22137476503849,8,7,8744,18.956581130623817,2.0,10,5,5,50
GBFS,40x40,7,Path Ahead Spiking,10,1,74,1985.0,0.46341679990291595,8,7,320,0.3995392471551895,,10,5,5,50
D*Lite,40x40,7,Path Ahead Spiking,10,1,80,421.0,36.985624581575394,8,7,2248,36.18942014873028,,10,5,5,50
UCS,40x40,8,Path Ahead Spiking,10,1,76,295.0,14.659708365797997,8,7,8364,14.44954238831997,,10,5,5,50
A*,40x40,8,Path Ahead Spiking,10,1,80,331.0,15.871291980147362,8,7,7730,15.6664177775383,,10,5,5,50
wA*,40x40,8,Path Ahead Spiking,10,1,80,413.0,17.33333244919777,8,7,8133,17.123665660619736,2.0,10,5,5,50
GBFS,40x40,8,Path Ahead Spiking,10,1,74,2007.0,0.46129152178764343,8,7,320,0.4052892327308655,,10,5,5,50
D*Lite,40x40,8,Path Ahead Spiking,10,1,78,460.0,35.54258495569229,8,7,2208,34.78458523750305,,10,5,5,50
UCS,40x40,9,Path Ahead Spiking,10,1,84,303.0,17.5614170730114,9,8,9279,17.287997528910637,,10,5,5,50
A*,40x40,9,Path Ahead Spiking,10,1,84,303.0,17.472123727202415,9,8,8076,17.220914363861084,,10,5,5,50
wA*,40x40,9,Path Ahead Spiking,10,1,84,303.0,14.045417308807373,9,8,6445,13.844124972820282,2.0,10,5,5,50
GBFS,40x40,9,Path Ahead Spiking,10,1,74,2030.0,0.4870835691690445,8,7,320,0.4252474755048752,,10,5,5,50
D*Lite,40x40,9,Path Ahead Spiking,10,1,78,337.0,36.651792004704475,8,7,2255,35.85725463926792,,10,5,5,50
