algorithm,size,seed,found,path_len,total_cost,nodes_expanded,runtime_ms,w
D*Lite,80x80,3,1,157,444.0,6084,82.35925063490868,
UCS,80x80,4,1,161,452.0,6083,9.18012484908104,
A*,80x80,4,1,161,452.0,6078,10.749959386885166,
wA*,80x80,4,1,161,452.0,5999,11.427625082433224,2.0
GBFS,80x80,4,1,155,759.0,155,0.1910831779241562,
D*Lite,80x80,4,1,159,452.0,6084,81.72458317130804,
UCS,80x80,5,1,155,448.0,6079,9.135750122368336,
A*,80x80,5,1,155,448.0,6068,10.825165547430515,
wA*,80x80,5,1,155,448.0,5736,11.096666567027569,2.0
GBFS,80x80,5,1,155,749.0,155,0.1860838383436203,
D*Lite,80x80,5,1,155,448.0,6083,81.1874596402049,
UCS,80x80,6,1,155,453.0,6084,8.951999247074127,
A*,80x80,6,1,155,453.0,6083,10.653166100382805,
wA*,80x80,6,1,155,453.0,5995,11.194666847586632,2.0
GBFS,80x80,6,1,155,733.0,155,0.19608251750469208,
D*Lite,80x80,6,1,155,453.0,6084,80.4193327203393,
UCS,80x80,7,1,155,455.0,6071,9.11295972764492,
A*,80x80,7,1,155,455.0,6051,10.743457823991776,
wA*,80x80,7,1,155,455.0,6011,11.410958133637905,2.0
GBFS,80x80,7,1,155,780.0,155,0.21704193204641342,
D*Lite,80x80,7,1,155,455.0,6084,81.18570782244205,
UCS,80x80,8,1,155,451.0,6083,9.023958817124367,
A*,80x80,8,1,155,451.0,6082,10.543165728449821,
wA*,80x80,8,1,155,451.0,6085,11.531875468790531,2.0
GBFS,80x80,8,1,155,785.0,155,0.19566621631383896,
D*Lite,80x80,8,1,155,451.0,6083,81.58320840448141,
UCS,80x80,9,1,157,447.0,6079,9.45595744997263,
A*,80x80,9,1,157,447.0,6072,11.03158388286829,
wA*,80x80,9,1,157,447.0,6059,11.601541191339493,2.0
GBFS,80x80,9,1,155,710.0,155,0.18962472677230835,
D*Lite,80x80,9,1,157,447.0,6084,82.50183332711458,
